,장소코드,장소명,시간대,혼잡수준,최소인원,최대인원
293,POI025,뚝섬역,2024-04-16 00:00,여유,9500,10000
294,POI025,뚝섬역,2024-04-16 01:00,여유,9000,9500
295,POI025,뚝섬역,2024-04-16 02:00,여유,9000,9500
296,POI025,뚝섬역,2024-04-16 03:00,여유,9000,9500
297,POI025,뚝섬역,2024-04-16 04:00,여유,9000,9500
298,POI025,뚝섬역,2024-04-16 05:00,여유,9000,9500
299,POI025,뚝섬역,2024-04-16 06:00,여유,9500,10000
300,POI026,미아사거리역,2024-04-15 19:00,약간 붐빔,10000,12000
301,POI026,미아사거리역,2024-04-15 20:00,약간 붐빔,10000,12000
302,POI026,미아사거리역,2024-04-15 21:00,보통,8500,9000
303,POI026,미아사거리역,2024-04-15 22:00,여유,8000,8500
304,POI026,미아사거리역,2024-04-15 23:00,여유,7000,7500
305,POI026,미아사거리역,2024-04-16 00:00,여유,6000,6500
306,POI026,미아사거리역,2024-04-16 01:00,여유,5000,5500
307,POI026,미아사거리역,2024-04-16 02:00,여유,4500,5000
308,POI026,미아사거리역,2024-04-16 03:00,여유,4000,4500
309,POI026,미아사거리역,2024-04-16 04:00,여유,4000,4500
310,POI026,미아사거리역,2024-04-16 05:00,여유,4000,4500
311,POI026,미아사거리역,2024-04-16 06:00,여유,4500,5000
312,POI027,발산역,2024-04-15 19:00,약간 붐빔,14000,16000
313,POI027,발산역,2024-04-15 20:00,약간 붐빔,14000,16000
314,POI027,발산역,2024-04-15 21:00,약간 붐빔,12000,14000
315,POI027,발산역,2024-04-15 22:00,보통,12000,14000
316,POI027,발산역,2024-04-15 23:00,보통,10000,12000
317,POI027,발산역,2024-04-16 00:00,여유,9000,9500
318,POI027,발산역,2024-04-16 01:00,여유,8000,8500
319,POI027,발산역,2024-04-16 02:00,여유,7500,8000
320,POI027,발산역,2024-04-16 03:00,여유,7000,7500
321,POI027,발산역,2024-04-16 04:00,여유,7000,7500
322,POI027,발산역,2024-04-16 05:00,여유,6500,7000
323,POI027,발산역,2024-04-16 06:00,여유,6500,7000
324,POI028,북한산우이역,2024-04-15 19:00,여유,700,800
325,POI028,북한산우이역,2024-04-15 20:00,여유,700,800
326,POI028,북한산우이역,2024-04-15 21:00,여유,700,800
327,POI028,북한산우이역,2024-04-15 22:00,여유,700,800
328,POI028,북한산우이역,2024-04-15 23:00,여유,700,800
329,POI028,북한산우이역,2024-04-16 00:00,여유,700,800
330,POI028,북한산우이역,2024-04-16 01:00,여유,700,800
331,POI028,북한산우이역,2024-04-16 02:00,여유,700,800
332,POI028,북한산우이역,2024-04-16 03:00,여유,700,800
333,POI028,북한산우이역,2024-04-16 04:00,여유,700,800
334,POI028,북한산우이역,2024-04-16 05:00,여유,700,800
335,POI028,북한산우이역,2024-04-16 06:00,여유,700,800
336,POI029,사당역,2024-04-15 19:00,약간 붐빔,26000,28000
337,POI029,사당역,2024-04-15 20:00,약간 붐빔,28000,30000
338,POI029,사당역,2024-04-15 21:00,보통,24000,26000
339,POI029,사당역,2024-04-15 22:00,보통,24000,26000
340,POI029,사당역,2024-04-15 23:00,여유,22000,24000
341,POI029,사당역,2024-04-16 00:00,여유,20000,22000
342,POI029,사당역,2024-04-16 01:00,여유,16000,18000
343,POI029,사당역,2024-04-16 02:00,여유,16000,18000
344,POI029,사당역,2024-04-16 03:00,여유,16000,18000
345,POI029,사당역,2024-04-16 04:00,여유,16000,18000
346,POI029,사당역,2024-04-16 05:00,여유,16000,18000
347,POI029,사당역,2024-04-16 06:00,여유,16000,18000
348,POI030,삼각지역,2024-04-15 19:00,보통,2000,2500
349,POI030,삼각지역,2024-04-15 20:00,보통,2000,2500
350,POI030,삼각지역,2024-04-15 21:00,여유,2000,2500
351,POI030,삼각지역,2024-04-15 22:00,여유,2000,2500
352,POI030,삼각지역,2024-04-15 23:00,여유,1500,2000
353,POI030,삼각지역,2024-04-16 00:00,여유,1500,2000
354,POI030,삼각지역,2024-04-16 01:00,여유,1500,2000
355,POI030,삼각지역,2024-04-16 02:00,여유,1500,2000
356,POI030,삼각지역,2024-04-16 03:00,여유,1000,1500
357,POI030,삼각지역,2024-04-16 04:00,여유,1000,1500
358,POI030,삼각지역,2024-04-16 05:00,여유,1500,2000
359,POI030,삼각지역,2024-04-16 06:00,여유,1500,2000
360,POI031,서울대입구역,2024-04-15 19:00,약간 붐빔,20000,22000
361,POI031,서울대입구역,2024-04-15 20:00,약간 붐빔,20000,22000
362,POI031,서울대입구역,2024-04-15 21:00,약간 붐빔,20000,22000
363,POI031,서울대입구역,2024-04-15 22:00,약간 붐빔,20000,22000
364,POI031,서울대입구역,2024-04-15 23:00,보통,18000,20000
365,POI031,서울대입구역,2024-04-16 00:00,보통,18000,20000
